"filename", "language", "Batch", "JSON", "Markdown", "Lua", "comment", "blank", "total"
"c:\code\lovecraftVR\README.md", "Markdown", 0, 0, 28, 0, 0, 9, 37
"c:\code\lovecraftVR\client\Main\camera.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\client\Main\highlighter.lua", "Lua", 0, 0, 0, 37, 1, 5, 43
"c:\code\lovecraftVR\client\Main\init.client.lua", "Lua", 0, 0, 0, 352, 75, 109, 536
"c:\code\lovecraftVR\client\Main\ui.lua", "Lua", 0, 0, 0, 20, 1, 7, 28
"c:\code\lovecraftVR\data\ItemMetadata\BaseFirearm.lua", "Lua", 0, 0, 0, 218, 18, 53, 289
"c:\code\lovecraftVR\data\ItemMetadata\BaseInteractive.lua", "Lua", 0, 0, 0, 13, 0, 10, 23
"c:\code\lovecraftVR\data\ItemMetadata\Eraser.lua", "Lua", 0, 0, 0, 24, 0, 12, 36
"c:\code\lovecraftVR\data\ItemMetadata\Hecate.lua", "Lua", 0, 0, 0, 26, 1, 6, 33
"c:\code\lovecraftVR\data\ItemMetadata\LightSaber.lua", "Lua", 0, 0, 0, 12, 0, 12, 24
"c:\code\lovecraftVR\data\ItemMetadata\Marker.lua", "Lua", 0, 0, 0, 35, 0, 13, 48
"c:\code\lovecraftVR\data\ItemMetadata\Saiga.lua", "Lua", 0, 0, 0, 29, 3, 9, 41
"c:\code\lovecraftVR\data\ItemMetadata\Skorpion.lua", "Lua", 0, 0, 0, 26, 1, 6, 33
"c:\code\lovecraftVR\data\ItemMetadata\init.lua", "Lua", 0, 0, 0, 156, 18, 29, 203
"c:\code\lovecraftVR\default.project.json", "JSON", 0, 58, 0, 0, 0, 0, 58
"c:\code\lovecraftVR\engine\CollisionMasking.lua", "Lua", 0, 0, 0, 10, 0, 5, 15
"c:\code\lovecraftVR\engine\DebugBoard.lua", "Lua", 0, 0, 0, 55, 5, 17, 77
"c:\code\lovecraftVR\engine\Hardware\Oculus.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\Hardware\ValveIndex.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\ItemInstances.lua", "Lua", 0, 0, 0, 18, 1, 6, 25
"c:\code\lovecraftVR\engine\Kinematics\Chain.lua", "Lua", 0, 0, 0, 15, 1, 3, 19
"c:\code\lovecraftVR\engine\Kinematics\Joint.lua", "Lua", 0, 0, 0, 11, 0, 5, 16
"c:\code\lovecraftVR\engine\Kinematics\Solver.lua", "Lua", 0, 0, 0, 209, 48, 43, 300
"c:\code\lovecraftVR\engine\Kinematics\init.lua", "Lua", 0, 0, 0, 5, 0, 0, 5
"c:\code\lovecraftVR\engine\Lib\RotatedRegion3\GJK.lua", "Lua", 0, 0, 0, 86, 6, 25, 117
"c:\code\lovecraftVR\engine\Lib\RotatedRegion3\Supports.lua", "Lua", 0, 0, 0, 39, 3, 10, 52
"c:\code\lovecraftVR\engine\Lib\RotatedRegion3\Vertices.lua", "Lua", 0, 0, 0, 157, 7, 37, 201
"c:\code\lovecraftVR\engine\Lib\RotatedRegion3\init.lua", "Lua", 0, 0, 0, 179, 9, 51, 239
"c:\code\lovecraftVR\engine\Lovecraft\class.lua", "Lua", 0, 0, 0, 49, 28, 11, 88
"c:\code\lovecraftVR\engine\Lovecraft\enums.lua", "Lua", 0, 0, 0, 2, 0, 2, 4
"c:\code\lovecraftVR\engine\Lovecraft\init.lua", "Lua", 0, 0, 0, 24, 5, 9, 38
"c:\code\lovecraftVR\engine\Lovecraft\using.lua", "Lua", 0, 0, 0, 80, 11, 21, 112
"c:\code\lovecraftVR\engine\LuaUtils.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\Manipulation\init.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\Networking.lua", "Lua", 0, 0, 0, 28, 0, 9, 37
"c:\code\lovecraftVR\engine\Ownership.lua", "Lua", 0, 0, 0, 11, 0, 4, 15
"c:\code\lovecraftVR\engine\Physics\LineSolver.lua", "Lua", 0, 0, 0, 22, 0, 6, 28
"c:\code\lovecraftVR\engine\Physics\PointSolver.lua", "Lua", 0, 0, 0, 73, 2, 18, 93
"c:\code\lovecraftVR\engine\Physics\RotationSolver.lua", "Lua", 0, 0, 0, 17, 9, 11, 37
"c:\code\lovecraftVR\engine\Physics\Solver.lua", "Lua", 0, 0, 0, 28, 0, 12, 40
"c:\code\lovecraftVR\engine\Physics\SurfaceSolver.lua", "Lua", 0, 0, 0, 3, 0, 6, 9
"c:\code\lovecraftVR\engine\Physics\init.lua", "Lua", 0, 0, 0, 5, 0, 2, 7
"c:\code\lovecraftVR\engine\Tests\GunTester.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\controller.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\grabbing.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\init.lua", "Lua", 0, 0, 0, 255, 59, 61, 375
"c:\code\lovecraftVR\gendocs.bat", "Batch", 1, 0, 0, 0, 0, 0, 1
"c:\code\lovecraftVR\server\Main\datahighlight.lua", "Lua", 0, 0, 0, 7, 0, 8, 15
"c:\code\lovecraftVR\server\Main\givehands.lua", "Lua", 0, 0, 0, 19, 4, 8, 31
"c:\code\lovecraftVR\server\Main\init.server.lua", "Lua", 0, 0, 0, 114, 30, 38, 182
"c:\code\lovecraftVR\server\Main\itemownerlist.lua", "Lua", 0, 0, 0, 36, 0, 11, 47
"c:\code\lovecraftVR\server\Main\loadanims.lua", "Lua", 0, 0, 0, 33, 6, 9, 48
"c:\code\lovecraftVR\server\Main\stats.lua", "Lua", 0, 0, 0, 12, 2, 3, 17
"c:\code\lovecraftVR\server\gm_deathmatch.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\code\lovecraftVR\server\gm_planetarium.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\server\gm_sandbox.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 1, 58, 28, 2551, 354, 741, 3733